name,label
0000,国の機関・地方公共団体の機関
0100,東京法務局
0101,東京法務局八王子支局
0104,東京法務局港出張所
0105,東京法務局台東出張所
0106,東京法務局墨田出張所
0107,東京法務局品川出張所
0108,東京法務局城南出張所
0109,東京法務局世田谷出張所
0110,東京法務局渋谷出張所
0111,東京法務局新宿出張所
0112,東京法務局中野出張所
0113,東京法務局杉並出張所
0114,東京法務局板橋出張所
0115,東京法務局北出張所
0116,東京法務局練馬出張所
0117,東京法務局江戸川出張所
0118,東京法務局城北出張所
0123,東京法務局町田出張所
0124,東京法務局府中支局
0127,東京法務局田無出張所
0128,東京法務局立川出張所
0131,東京法務局西多摩支局
0132,東京法務局目黒出張所
0133,東京法務局豊島出張所
0200,横浜地方法務局
0210,横浜地方法務局湘南支局
0300,さいたま地方法務局
0400,千葉地方法務局
0500,水戸地方法務局
0600,宇都宮地方法務局
0700,前橋地方法務局
0800,静岡地方法務局
0801,静岡地方法務局沼津支局
0804,静岡地方法務局浜松支局
0900,甲府地方法務局
1000,長野地方法務局
1100,新潟地方法務局
1200,大阪法務局
1201,大阪法務局堺支局
1209,大阪法務局北大阪支局
1220,大阪法務局東大阪支局
1300,京都地方法務局
1400,神戸地方法務局
1500,奈良地方法務局
1600,大津地方法務局
1700,和歌山地方法務局
1800,名古屋法務局
1803,名古屋法務局岡崎支局
2000,岐阜地方法務局
2100,福井地方法務局
2200,金沢地方法務局
2300,富山地方法務局
2400,広島法務局
2500,山口地方法務局
2600,岡山地方法務局
2700,鳥取地方法務局
2800,松江地方法務局
2900,福岡法務局
2908,福岡法務局北九州支局
3000,佐賀地方法務局
3100,長崎地方法務局
3200,大分地方法務局
3202,大分地方法務局臼杵支局
3300,熊本地方法務局
3400,鹿児島地方法務局
3500,宮崎地方法務局
3600,那覇地方法務局
3700,仙台法務局
3701,仙台法務局大河原支局
3702,仙台法務局古川支局
3703,仙台法務局石巻支局
3704,仙台法務局登米支局
3706,仙台法務局塩竈支局
3708,仙台法務局名取出張所
3800,福島地方法務局
3900,山形地方法務局
4000,盛岡地方法務局
4005,盛岡地方法務局一関支局
4006,盛岡地方法務局水沢支局
4027,盛岡地方法務局大船渡出張所
4100,秋田地方法務局
4200,青森地方法務局
4300,札幌法務局
4400,函館地方法務局
4500,旭川地方法務局
4600,釧路地方法務局
4601,釧路地方法務局帯広支局
4603,釧路地方法務局北見支局
4604,釧路地方法務局根室支局
4625,釧路地方法務局中標津出張所
4700,高松法務局
4800,徳島地方法務局
4900,高知地方法務局
5000,松山地方法務局
7001,設立登記のない法人・人格のない社団・人格のない財団